ResidentID,Age,ModeOfTransport,DailyDistance,CarbonEmissionFactor, AverageDayPerMonth, AgeGroup, TotalMonthlyEmission
A001,34,Car,15,0.21,25,Working Adults (Early Career),78.75
A002,42,Bus,12.00,0.05,26,Working Adults (Early Career),15.60
A003,28,Bicycle,8.00,0.00,26,Working Adults (Early Career),0.00
A004,55,Walking,3.00,0.00,23,Working Adults (Late Career),0.00
A005,38,Car,20.00,0.21,21,Working Adults (Early Career),88.20
A006,29,Bus,10.00,0.05,21,Working Adults (Early Career),10.50
A007,50,Car,18.00,0.21,28,Working Adults (Late Career),105.84
A008,33,Bicycle,7.00,0.00,25,Working Adults (Early Career),0.00
A009,45,Walking,5.00,0.00,20,Working Adults (Early Career),0.00
A010,27,Car,12.00,0.21,24,Working Adults (Early Career),60.48
A011,36,Car,14.00,0.21,22,Working Adults (Early Career),64.68
A012,41,Bus,11.00,0.05,26,Working Adults (Early Career),14.30
A013,31,Bicycle,9.00,0.00,25,Working Adults (Early Career),0.00
A014,58,Walking,4.00,0.00,28,Working Adults (Late Career),0.00
A015,26,Car,16.00,0.21,23,Working Adults (Early Career),77.28
A016,39,Bus,13.00,0.05,27,Working Adults (Early Career),17.55
A017,47,Car,20.00,0.21,29,Working Adults (Late Career),121.80
A018,32,Bicycle,8.00,0.00,21,Working Adults (Early Career),0.00
A019,53,Walking,3.00,0.00,28,Working Adults (Late Career),0.00
A020,29,Car,15.00,0.21,20,Working Adults (Early Career),63.00
A021,37,Car,14.00,0.21,22,Working Adults (Early Career),64.68
A022,44,Bus,12.00,0.05,29,Working Adults (Early Career),17.40
A023,30,Bicycle,7.00,0.00,25,Working Adults (Early Career),0.00
A024,56,Walking,4.00,0.00,24,Working Adults (Late Career),0.00
A025,28,Car,18.00,0.21,28,Working Adults (Early Career),105.84
A026,35,Bus,10.00,0.05,25,Working Adults (Early Career),12.50
A027,49,Car,22.00,0.21,21,Working Adults (Late Career),97.02
A028,33,Bicycle,6.00,0.00,25,Working Adults (Early Career),0.00
A029,51,Walking,5.00,0.00,25,Working Adults (Late Career),0.00
A030,27,Car,14.00,0.21,22,Working Adults (Early Career),64.68
A031,40,Car,15.00,0.21,26,Working Adults (Early Career),81.90
A032,43,Bus,13.00,0.05,29,Working Adults (Early Career),18.85
A033,29,Bicycle,9.00,0.00,24,Working Adults (Early Career),0.00
A034,57,Walking,3.00,0.00,24,Working Adults (Late Career),0.00
A035,26,Car,17.00,0.21,27,Working Adults (Early Career),96.39
A036,38,Bus,12.00,0.05,26,Working Adults (Early Career),15.60
A037,46,Car,20.00,0.21,28,Working Adults (Late Career),117.60
A038,32,Bicycle,7.00,0.00,27,Working Adults (Early Career),0.00
A039,54,Walking,4.00,0.00,30,Working Adults (Late Career),0.00
A040,28,Car,16.00,0.21,23,Working Adults (Early Career),77.28
A041,36,Car,15.00,0.21,23,Working Adults (Early Career),72.45
A042,42,Bus,11.00,0.05,26,Working Adults (Early Career),14.30
A043,31,Bicycle,8.00,0.00,29,Working Adults (Early Career),0.00
A044,55,Walking,3.00,0.00,30,Working Adults (Late Career),0.00
A045,27,Car,14.00,0.21,30,Working Adults (Early Career),88.20
A046,39,Bus,12.00,0.05,23,Working Adults (Early Career),13.80
A047,48,Car,19.00,0.21,29,Working Adults (Late Career),115.71
A048,34,Bicycle,7.00,0.00,27,Working Adults (Early Career),0.00
A049,52,Walking,5.00,0.00,26,Working Adults (Late Career),0.00
A050,29,Car,15.00,0.21,28,Working Adults (Early Career),88.20
A051,30,Car,16.00,0.21,21,Working Adults (Early Career),70.56
A052,35,Bus,11.00,0.05,23,Working Adults (Early Career),12.65
A053,32,Bicycle,8.00,0.00,28,Working Adults (Early Career),0.00
A054,53,Walking,4.00,0.00,26,Working Adults (Late Career),0.00
A055,26,Car,17.00,0.21,20,Working Adults (Early Career),71.40
A056,37,Bus,12.00,0.05,20,Working Adults (Early Career),12.00
A057,47,Car,20.00,0.21,26,Working Adults (Late Career),109.20
A058,33,Bicycle,6.00,0.00,27,Working Adults (Early Career),0.00
A059,55,Walking,5.00,0.00,24,Working Adults (Late Career),0.00
A060,28,Car,15.00,0.21,22,Working Adults (Early Career),69.30
