ResidentID,Age,ModeOfTransport,DailyDistance,CarbonEmissionFactor, AverageDayPerMonth, AgeGroup, TotalMonthlyEmission
B002,20,Walking,2.00,0.00,20,University Students / Young Adults,0.00
B010,15,Walking,2.00,0.00,22,Children & Teenagers,0.00
B026,19,Walking,2.00,0.00,22,University Students / Young Adults,0.00
B034,19,Walking,2.00,0.00,22,University Students / Young Adults,0.00
B046,16,Walking,2.00,0.00,22,Children & Teenagers,0.00
B058,16,Walking,2.00,0.00,23,Children & Teenagers,0.00
B063,6,Walking,2.00,0.00,20,Children & Teenagers,0.00
B070,13,Walking,2.00,0.00,23,Children & Teenagers,0.00
B078,23,Walking,2.00,0.00,24,University Students / Young Adults,0.00
B086,17,Walking,2.00,0.00,24,Children & Teenagers,0.00
B090,14,Walking,2.00,0.00,23,Children & Teenagers,0.00
B103,6,Walking,2.00,0.00,20,Children & Teenagers,0.00
B110,13,Walking,2.00,0.00,23,Children & Teenagers,0.00
B118,23,Walking,2.00,0.00,24,University Students / Young Adults,0.00
B126,17,Walking,2.00,0.00,24,Children & Teenagers,0.00
B130,14,Walking,2.00,0.00,23,Children & Teenagers,0.00
B143,6,Walking,2.00,0.00,20,Children & Teenagers,0.00
B150,13,Walking,2.00,0.00,23,Children & Teenagers,0.00
B158,23,Walking,2.00,0.00,24,University Students / Young Adults,0.00
B166,17,Walking,2.00,0.00,24,Children & Teenagers,0.00
B170,14,Walking,2.00,0.00,23,Children & Teenagers,0.00
B006,18,Walking,3.00,0.00,22,University Students / Young Adults,0.00
B014,20,Walking,3.00,0.00,22,University Students / Young Adults,0.00
B018,23,Walking,3.00,0.00,24,University Students / Young Adults,0.00
B022,24,Walking,3.00,0.00,23,University Students / Young Adults,0.00
B030,15,Walking,3.00,0.00,21,Children & Teenagers,0.00
B038,16,Walking,3.00,0.00,22,Children & Teenagers,0.00
B042,24,Walking,3.00,0.00,25,University Students / Young Adults,0.00
B050,15,Walking,3.00,0.00,21,Children & Teenagers,0.00
B054,24,Walking,3.00,0.00,23,University Students / Young Adults,0.00
B066,15,Walking,3.00,0.00,21,Children & Teenagers,0.00
B069,8,Bicycle,3.00,0.00,24,Children & Teenagers,0.00
B074,18,Walking,3.00,0.00,23,University Students / Young Adults,0.00
B082,25,Walking,3.00,0.00,21,University Students / Young Adults,0.00
B089,8,Bicycle,3.00,0.00,21,Children & Teenagers,0.00
B094,20,Walking,3.00,0.00,22,University Students / Young Adults,0.00
B098,23,Walking,3.00,0.00,22,University Students / Young Adults,0.00
B106,15,Walking,3.00,0.00,21,Children & Teenagers,0.00
B114,18,Walking,3.00,0.00,23,University Students / Young Adults,0.00
B122,25,Walking,3.00,0.00,21,University Students / Young Adults,0.00
B129,8,Bicycle,3.00,0.00,21,Children & Teenagers,0.00
B134,20,Walking,3.00,0.00,22,University Students / Young Adults,0.00
B138,23,Walking,3.00,0.00,22,University Students / Young Adults,0.00
B146,15,Walking,3.00,0.00,21,Children & Teenagers,0.00
B154,18,Walking,3.00,0.00,23,University Students / Young Adults,0.00
B162,25,Walking,3.00,0.00,21,University Students / Young Adults,0.00
B169,8,Bicycle,3.00,0.00,21,Children & Teenagers,0.00
B174,20,Walking,3.00,0.00,22,University Students / Young Adults,0.00
B178,23,Walking,3.00,0.00,22,University Students / Young Adults,0.00
B009,17,Bicycle,4.00,0.00,21,Children & Teenagers,0.00
B029,17,Bicycle,4.00,0.00,22,Children & Teenagers,0.00
B049,17,Bicycle,4.00,0.00,22,Children & Teenagers,0.00
B061,12,Bicycle,4.00,0.00,22,Children & Teenagers,0.00
B081,20,Bicycle,4.00,0.00,24,University Students / Young Adults,0.00
B097,12,Bicycle,4.00,0.00,24,Children & Teenagers,0.00
B109,8,Bicycle,4.00,0.00,24,Children & Teenagers,0.00
B121,20,Bicycle,4.00,0.00,24,University Students / Young Adults,0.00
B137,12,Bicycle,4.00,0.00,24,Children & Teenagers,0.00
B149,8,Bicycle,4.00,0.00,24,Children & Teenagers,0.00
B161,20,Bicycle,4.00,0.00,24,University Students / Young Adults,0.00
B177,12,Bicycle,4.00,0.00,24,Children & Teenagers,0.00
B001,16,Bicycle,5.00,0.00,21,Children & Teenagers,0.00
B021,18,Bicycle,5.00,0.00,22,University Students / Young Adults,0.00
B041,18,Bicycle,5.00,0.00,22,University Students / Young Adults,0.00
B053,18,Bicycle,5.00,0.00,22,University Students / Young Adults,0.00
B065,17,Bicycle,5.00,0.00,23,Children & Teenagers,0.00
B077,16,Bicycle,5.00,0.00,21,Children & Teenagers,0.00
B085,13,Bicycle,5.00,0.00,22,Children & Teenagers,0.00
B093,16,Bicycle,5.00,0.00,25,Children & Teenagers,0.00
B101,14,Bicycle,5.00,0.00,22,Children & Teenagers,0.00
